word,sylbs
cost,1
last,1
holocaust,3
frost,1
accost,2
exhaust,2
pentecost,3
embossed,2
prost,1
crossed,1
dost,1
defrost,2
jost,1
tossed,1
lacoste,2
glost,1
aust,1
rost,1
bost,1
jack frost,2
opportunity cost,6
crisscrossed,2
sauced,1
bossed,1
kost,1
unit cost,3
vhost,1
criss-crossed,2
glossed,1
drost,1
marginal cost,4
trost,1
robert frost,3
operating cost,5
flossed,1
carrying cost,4
at any cost,4
incremental cost,5
replacement cost,4
mossed,1
robert lee frost,4
average cost,4
brost,1
handling cost,3
differential cost,5
quast,1
maust,1
distribution cost,5
borrowing cost,4
droste,1
marketing cost,4
production cost,4
knost,1
reproduction cost,5
yoest,1
armacost,3
mini-cost,3
pfost,1
